fl_date	mkt_unique_carrier	branded_code_share	mkt_carrier	mkt_carrier_fl_num	op_unique_carrier	tail_num	op_carrier_fl_num	origin_airport_id	origin	origin_city_name	dest_airport_id	dest	dest_city_name	crs_dep_time	dep_time	dep_delay	taxi_out	wheels_off	wheels_on	taxi_in	crs_arr_time	arr_time	arr_delay	cancelled	cancellation_code	diverted	dup	crs_elapsed_time	actual_elapsed_time	air_time	flights	distance	carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	first_dep_time	total_add_gtime	longest_add_gtime	no_name
2019-11-06	WN	WN	WN	3881	WN	N8625A	3881	14635	RSW	Fort Myers, FL	11259	DAL	Dallas, TX	2050	2039	-11	8	2047	2216	31	2240	2247	7	0		0	N	170	188	149	1	1005									
2019-02-01	WN	WN	WN	759	WN	N430WN	759	14107	PHX	Phoenix, AZ	14831	SJC	San Jose, CA	1620	1616	-4	6	1622	1655	5	1715	1700	-15	0		0	N	115	104	93	1	621									
2018-10-26	WN	WN	WN	1441	WN	N716SW	1441	13891	ONT	Ontario, CA	14107	PHX	Phoenix, AZ	1025	1023	-2	10	1033	1126	4	1135	1130	-5	0		0	N	70	67	53	1	325									
2019-08-09	DL	DL	DL	967	DL	N585NW	967	10397	ATL	Atlanta, GA	14747	SEA	Seattle, WA	945	956	11	22	1018	1203	4	1209	1207	-2	0		0	N	324	311	285	1	2182									
2019-01-20	DL	DL_CODESHARE	DL	5714	CP	N606CZ	5714	11603	EUG	Eugene, OR	14747	SEA	Seattle, WA	720	720	0	9	729	808	15	841	823	-18	0		0	N	81	63	39	1	234									
2019-06-01	UA	UA_CODESHARE	UA	5981	OO	N952SW	5981	12266	IAH	Houston, TX	10279	AMA	Amarillo, TX	935	931	-4	31	1002	1123	5	1122	1128	6	0		0	N	107	117	81	1	517									
2018-03-05	AA	AA	AA	456	AA	N663AW	456	14107	PHX	Phoenix, AZ	14869	SLC	Salt Lake City, UT	1750	1755	5	16	1811	1924	5	1928	1929	1	0		0	N	98	94	73	1	507									
2018-09-06	AA	AA	AA	2165	AA	N952UW	2165	10721	BOS	Boston, MA	12953	LGA	New York, NY	630	627	-3	22	649	733	10	750	743	-7	0		0	N	80	76	44	1	184									
2019-05-15	AS	AS_CODESHARE	AS	2648	QX	N622QX	2648	12892	LAX	Los Angeles, CA	14057	PDX	Portland, OR	800	757	-3	18	815	1003	8	1035	1011	-24	0		0	N	155	134	108	1	834									
2018-01-27	UA	UA_CODESHARE	UA	6355	YV	N515MJ	6355	12264	IAD	Washington, DC	11042	CLE	Cleveland, OH	2205	2153	-12	12	2205	2256	7	2321	2303	-18	0		0	N	76	70	51	1	288									
2019-01-25	DL	DL_CODESHARE	DL	3873	OO	N692CA	3873	12266	IAH	Houston, TX	13487	MSP	Minneapolis, MN	1834	1829	-5	22	1851	2114	7	2135	2121	-14	0		0	N	181	172	143	1	1034									
2019-08-04	F9	F9	F9	104	F9	N702FR	104	13204	MCO	Orlando, FL	14843	SJU	San Juan, PR	2149	2149	0	13	2202	31	6	40	37	-3	0		0	N	171	168	149	1	1189									
2019-04-24	WN	WN	WN	1456	WN	N265WN	1456	13796	OAK	Oakland, CA	12889	LAS	Las Vegas, NV	530	529	-1	12	541	643	6	700	649	-11	0		0	N	90	80	62	1	407									
2018-10-17	DL	DL_CODESHARE	DL	5063	9E	N272PQ	5063	12953	LGA	New York, NY	10792	BUF	Buffalo, NY	1140	1135	-5	34	1209	1306	3	1308	1309	1	0		0	N	88	94	57	1	292									
2018-02-03	WN	WN	WN	1864	WN	N7750A	1864	10397	ATL	Atlanta, GA	12953	LGA	New York, NY	1920	1923	3	9	1932	2109	6	2130	2115	-15	0		0	N	130	112	97	1	762									
2018-03-07	WN	WN	WN	442	WN	N8508W	442	11292	DEN	Denver, CO	13342	MKE	Milwaukee, WI	1030	1030	0	17	1047	1336	3	1350	1339	-11	0		0	N	140	129	109	1	896									
2019-09-04	UA	UA	UA	772	UA	N36444	772	14107	PHX	Phoenix, AZ	11292	DEN	Denver, CO	1753	1743	-10	12	1755	2016	11	2039	2027	-12	0		0	N	106	104	81	1	602									
2018-01-17	UA	UA	UA	1969	UA	N810UA	1969	14492	RDU	Raleigh/Durham, NC	14771	SFO	San Francisco, CA	1820	2007	107	70	2117	2336	4	2127	2340	133	0		0	N	367	393	319	1	2400	0	99	26	0	8				
2018-05-05	AA	AA	AA	2691	AA	N309PC	2691	14908	SNA	Santa Ana, CA	11298	DFW	Dallas/Fort Worth, TX	905	942	37	9	951	1417	7	1353	1424	31	0		0	N	168	162	146	1	1205	12	0	0	0	19				
2018-03-11	UA	UA_CODESHARE	UA	4152	EV	N13566	4152	15016	STL	St. Louis, MO	12266	IAH	Houston, TX	1832	1829	-3	14	1843	2033	11	2045	2044	-1	0		0	N	133	135	110	1	667									
2018-12-24	WN	WN	WN	3348	WN	N8563Z	3348	14730	SDF	Louisville, KY	13232	MDW	Chicago, IL	645	645	0	23	708	700	4	700	704	4	0		0	N	75	79	52	1	271									
2019-10-20	DL	DL_CODESHARE	DL	3323	9E	N8694A	3323	12951	LFT	Lafayette, LA	10397	ATL	Atlanta, GA	1739	1739	0	13	1752	2013	27	2029	2040	11	0		0	N	110	121	81	1	503									
2019-02-05	UA	UA_CODESHARE	UA	3785	ZW	N454AW	3785	11423	DSM	Des Moines, IA	13930	ORD	Chicago, IL	1123	1116	-7	31	1147	1236	14	1252	1250	-2	0		0	N	89	94	49	1	299									
2019-09-19	UA	UA_CODESHARE	UA	5839	OO	N916SW	5839	10434	AVP	Scranton/Wilkes-Barre, PA	13930	ORD	Chicago, IL	700	659	-1	33	732	806	13	825	819	-6	0		0	N	145	140	94	1	632									
