,arr_delay
810,7.0
811,-13.0
812,86.0
813,29.0
814,41.0
815,11.0
816,42.0
817,-10.0
818,-11.0
819,15.0
820,-7.0
821,-7.0
822,-23.0
823,-8.0
824,-11.0
825,-9.0
826,-7.0
827,2.0
828,33.0
829,-11.0
830,-27.0
831,-9.0
832,115.0
833,138.0
834,-21.0
835,-3.0
836,-16.0
837,22.0
838,13.0
839,-7.0
840,193.0
841,-25.0
842,-16.0
843,-13.0
844,-23.0
845,-21.0
846,-6.0
847,27.0
848,139.0
849,-3.0
850,-11.0
851,6.0
852,-9.0
853,19.0
854,1.0
855,11.0
856,-17.0
857,242.0
858,7.0
859,-19.0
860,-4.0
861,-17.0
862,-9.0
863,70.0
864,-16.0
865,-11.0
866,-27.0
867,-4.0
868,-12.0
869,-18.0
870,-18.0
871,-10.0
872,4.0
873,-33.0
874,-28.0
875,-9.0
876,-4.0
877,52.0
878,23.0
879,38.0
880,6.0
881,-25.0
882,-5.0
883,13.0
884,-19.0
885,-14.0
886,-10.0
887,-2.0
888,90.0
889,-9.0
890,-20.0
891,45.0
892,61.0
893,6.0
894,-8.0
895,1.0
896,-14.0
897,25.0
898,23.0
899,-7.0
900,43.0
901,-8.0
902,-1.0
903,-18.0
904,-24.0
905,-19.0
906,-19.0
907,-4.0
908,338.0
909,-4.0
910,-16.0
911,57.0
912,-6.0
913,-14.0
914,-40.0
915,-10.0
916,-1.0
917,103.0
918,-6.0
919,-11.0
920,21.0
921,-19.0
922,-27.0
923,13.0
924,-15.0
925,-19.0
926,-6.0
927,10.0
928,-1.0
929,-3.0
930,-15.0
931,22.0
932,5.0
933,-6.0
934,-31.0
935,192.0
936,-15.0
937,61.0
938,104.0
939,3.0
940,-10.0
941,-14.0
942,-3.0
943,198.0
944,-7.0
945,-14.0
946,-2.0
947,-17.0
948,-7.0
949,15.0
950,-12.0
951,180.0
952,11.0
953,17.0
954,-12.0
955,157.0
956,-18.0
957,5.0
958,-19.0
959,13.0
960,-3.0
961,-5.0
962,-16.0
963,-27.0
964,-3.0
965,-6.0
966,31.0
967,-7.0
968,-9.0
969,-18.0
970,16.0
971,18.0
972,-2.0
973,6.0
974,-4.0
975,-6.0
976,6.0
977,-22.0
978,10.0
979,20.0
980,7.0
981,11.0
982,-6.0
983,10.0
984,-16.0
985,137.0
986,-13.0
987,5.0
988,-14.0
989,93.0
990,14.0
991,8.0
992,5.0
993,0.0
994,2.0
995,-2.0
996,-10.0
997,-2.0
998,-15.0
999,-31.0
1000,1.0
1001,-11.0
1002,-11.0
1003,18.0
1004,-8.0
1005,-21.0
1006,-6.0
1007,7.0
1008,15.0
1009,-4.0
1010,-5.0
1011,-21.0
1012,31.0
1013,-33.0
1014,0.0
1015,-10.0
1016,-2.0
1017,-9.0
1018,-38.0
1019,3.0
1020,-7.0
1021,-9.0
1022,-20.0
1023,-4.0
1024,-18.0
1025,-21.0
1026,-9.0
1027,-13.0
1028,
1029,-8.0
1030,136.0
1031,13.0
1032,-7.0
1033,10.0
1034,12.0
1035,-6.0
1036,-1.0
1037,-23.0
1038,-23.0
1039,-13.0
1040,-8.0
1041,36.0
1042,9.0
1043,11.0
1044,1.0
1045,-9.0
1046,-2.0
1047,-12.0
1048,39.0
1049,-1.0
1050,37.0
1051,20.0
1052,-10.0
1053,-8.0
1054,15.0
